elapsed_s,position_ns,audio_master,error_p50_ms,error_p99_ms,slope_ms_min,presented,dropped,cadence,starved,rebuilds,discontinuities,host_gaps,surface_waits
0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.00767,956166666,1,-4.4375,6.125,-343.75,30,0,28,0,0,0,0,0
2.00938,1957895833,1,-4.83333,12.8333,-224.375,57,3,61,0,0,0,0,0
3.00564,2954145833,1,-5.0625,12.9375,-77.625,87,3,91,0,0,0,0,0
4.00903,3957562500,1,-5.375,12.9375,-73.5,117,3,121,0,0,0,0,0
5.011,4959541666,1,-5.66667,12.9375,-78.7857,146,4,152,0,0,0,0,0
6.00836,5956916666,1,-6.27083,12.9375,-55.3571,176,4,182,0,0,0,0,0
7.01089,6959479166,1,-7.0625,13.125,-53.6905,204,6,214,0,0,0,0,0
8.01054,7959104166,1,-7.39583,13.375,-48,234,6,244,0,0,0,0,0
9.01293,8961520833,1,-8.3125,14.4792,-50.3258,262,8,276,0,0,0,0,0
10.0145,9963125000,1,-8.9375,14.4792,-53.6818,292,8,306,0,0,0,0,0
11.0155,10964166666,1,-9.4375,14.7083,-55.9091,320,10,338,0,0,0,0,0
12.0198,11968416666,1,-10.25,15.0833,-55.9091,348,12,370,0,0,0,0,0
13.0041,12952687500,1,-10.7292,15.0833,-20.9093,374,16,404,0,0,0,0,0
14.0049,13953541666,1,-10.9167,15.0833,-10.7009,399,21,439,0,0,0,0,0
15.0077,14956375000,1,-11.3125,15.3125,-7.41176,425,25,473,0,0,0,0,0
16.0034,15952083333,1,-11.3542,15.75,0.0398311,451,29,507,0,0,0,0,0
17.0042,16952916666,1,-11.0625,15.7917,4.39113,480,30,538,0,0,0,0,0
18.0005,17949208333,1,-10.3958,15.8125,4.39113,505,34,573,0,0,0,0,0
19.0089,18957562500,1,-6.33333,15.8125,4.27444,535,35,603,0,0,0,0,0
20.0025,19951187500,1,-4.39583,15.7917,8.0276,565,35,633,0,0,0,0,0
21.0036,20952291666,1,-3.97917,15.7917,9.96542,594,36,664,0,0,0,0,0
22.0064,21955145833,1,-3.85417,15.7917,9.4837,623,37,695,0,0,0,0,0
23.0092,22958000000,1,-4.1875,15.7917,7.30544,653,37,725,0,0,0,0,0
24.007,23955750000,1,-4.72917,15.7917,6.77692,683,37,755,0,0,0,0,0
25.0086,24957416666,1,-5.33333,14.4792,5.4594,713,37,785,0,0,0,0,0
26.0104,25959208333,1,-5.79167,14,3.50733,743,37,815,0,0,0,0,0
27.0146,26963354166,1,-6.4375,14,0.0807343,772,38,846,0,0,0,0,0
28.0149,27963666666,1,-7.39583,14.3125,-2.81404,801,39,877,0,0,0,0,0
29.0133,28962062500,1,-8.02083,14.3125,-4.52809,829,41,909,0,0,0,0,0
30.0126,29961375000,1,-8.625,14.1875,-5.65423,859,41,939,0,0,0,0,0
31.0117,30960562500,1,-9.4375,14.1875,-6.27291,889,41,969,0,0,0,0,0
32.001,31949812500,1,-10.2708,14.8958,-6.27291,917,42,1001,0,0,0,0,0
33.0001,32948916666,1,-11.0417,15.125,-7.59442,941,48,1036,0,0,0,0,0
34.0076,33956458333,1,-11.3333,15.75,-5.05847,964,56,1074,0,0,0,0,0
35.0017,34950562500,1,-11.375,15.7708,-2.8047,991,59,1107,0,0,0,0,0
36.0018,35950666666,1,-11.3333,15.9167,-0.911865,1018,62,1140,0,0,0,0,0
37.0101,36959000000,1,-11.0833,15.9375,-1.32318,1045,65,1173,0,0,0,0,0
38.0164,37965250000,1,-10.4167,15.9375,-3.11159,1073,67,1205,0,0,0,0,0
39.0002,38949145833,1,-7.04167,15.9375,-3.11159,1102,67,1235,0,0,0,0,0
40.0066,39955562500,1,-6.1875,16.1875,-4.07121,1132,68,1266,0,0,0,0,0
41.0085,40957458333,1,-5.5,16.1875,-3.78819,1161,69,1297,0,0,0,0,0
42.001,41949958333,1,-5.45833,16.1875,-3.78819,1188,71,1330,0,0,0,0,0
43.0128,42961729166,1,-5.8125,16.0833,-5.27193,1218,72,1360,0,0,0,0,0
44.0036,43952604166,1,-6.54167,15.9375,-4.04051,1248,72,1390,0,0,0,0,0
45.0046,44953604166,1,-6.89583,15.2083,-3.11818,1278,72,1420,0,0,0,0,0
46.0046,45953666666,1,-6.45833,15.2083,-2.30704,1307,73,1451,0,0,0,0,0
47.0036,46952625000,1,-6.125,15.0833,-1.43101,1336,74,1482,0,0,0,0,0
48.0097,47958708333,1,-5.875,14.6042,-1.54834,1366,74,1512,0,0,0,0,0
49.0096,48958625000,1,-6.77083,14.75,-1.63673,1395,75,1543,0,0,0,0,0
50.0112,49960229166,1,-7.10417,14.7917,-1.92919,1425,75,1573,0,0,0,0,0
51.0045,50953583333,1,-5.91667,15.3125,-1.31686,1453,77,1605,0,0,0,0,0
52.0123,51961312500,1,-5.20833,15.4583,-1.74075,1479,81,1639,0,0,0,0,0
53.0081,52957125000,1,-5.77083,15.4583,-1.60816,1507,83,1671,0,0,0,0,0
54.0016,53950625000,1,-6.60417,15.4583,-0.726641,1536,84,1702,0,0,0,0,0
55.0016,54950645833,1,-7.52083,15.6458,0.0627566,1565,85,1733,0,0,0,0,0
56.0144,55963500000,1,-9.0625,15.6458,-0.627917,1594,86,1764,0,0,0,0,0
57.005,56954145833,1,-7.89583,15.6458,-0.264388,1623,87,1795,0,0,0,0,0
58.0131,57962187500,1,-7.10417,15.6458,-0.753945,1649,91,1829,0,0,0,0,0
59.004,58953104166,1,-5.9375,15.6458,-0.301472,1676,94,1862,0,0,0,0,0
60.0023,59951479166,1,-7.54167,15.6458,0.263088,1706,94,1892,0,0,0,0,0
61.0016,60950750000,1,-7.52083,15.7708,0.841549,1732,98,1926,0,0,0,0,0
62.0092,61958395833,1,-6.77083,15.7708,0.682724,1762,98,1956,0,0,0,0,0
63.0155,62964645833,1,-7.10417,15.7708,-0.0035197,1788,102,1990,0,0,0,0,0
64.0088,63957979166,1,-7.64583,15.7708,-0.0688919,1818,102,2020,0,0,0,0,0
65.0125,64961687500,1,-7.60417,15.8125,-0.432001,1848,102,2050,0,0,0,0,0
66.0114,65960604166,1,-8.39583,15.8125,-0.675732,1878,102,2080,0,0,0,0,0
67.0126,66961791666,1,-8.91667,15.8125,-0.98883,1908,102,2110,0,0,0,0,0
68.0108,67960041666,1,-9.72917,15.8125,-1.14537,1938,102,2140,0,0,0,0,0
69.0122,68961437500,1,-9.3125,15.8125,-1.38708,1968,102,2170,0,0,0,0,0
