elapsed_s,position_ns,audio_master,error_p50_ms,error_p99_ms,slope_ms_min,presented,dropped,cadence,starved,rebuilds,discontinuities,host_gaps,surface_waits,poll_gap_max_ms,decode_errors,ring_backpressure
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00378,940458333,1,-7.41667,8.85417,0,29,0,29,0,0,0,0,0,21.0535,0,30
2.00358,1940249999,1,-7.47917,18.3542,-226.25,59,0,58,0,0,0,0,0,30.7514,0,57
3.00698,2943666666,1,-8.35417,18.3542,-138.75,89,0,88,0,0,0,0,0,30.7514,0,88
4.00718,3943874999,1,-8.97917,18.3542,-88.75,119,0,118,0,0,0,0,0,30.7514,0,117
5.00858,4945333333,1,-9.5625,18.5208,-67.25,149,0,148,0,0,0,0,0,30.7514,0,148
6.00897,5945708333,1,-10.0625,18.5208,-56.5,179,0,178,0,0,0,0,0,30.7514,0,177
7.00755,6944291666,1,-10.4583,18.5208,-57.1875,209,0,208,0,0,0,0,0,30.7514,0,207
8.00989,7946645833,1,-11,18.5208,-60.4167,238,1,237,0,0,0,0,0,38.3012,0,236
9.01174,8948499999,1,-11.8125,18.5208,-61.3125,268,1,267,0,0,0,0,0,38.3012,0,267
10.0127,9949499999,1,-12.2083,18.0625,-58.0833,298,1,296,0,0,0,0,0,38.3012,0,297
11.0127,10949479166,1,-13.1042,20.4583,-56.8636,328,1,325,0,0,0,0,0,38.3012,0,325
12.0144,11951166666,1,-13.2292,20.4583,-24.4025,359,1,354,0,0,0,0,0,38.3012,0,354
13.0136,12950458333,1,-13.3333,18.6875,-1.76373,389,1,383,0,0,0,0,0,38.3012,0,382
14.016,13952833333,1,-13.4167,18.9792,9.43304,419,1,413,0,0,0,0,0,38.3012,0,411
15.0001,14936958333,1,-13.0417,19.4375,9.43304,448,1,442,0,0,0,0,0,38.3012,0,440
16.0008,15937666666,1,-3.64583,19.4375,16.9375,478,1,471,0,0,0,0,0,38.3012,0,470
17.0017,16938520833,1,-3.60417,19.4375,21.0202,508,1,501,0,0,0,0,0,38.3012,0,499
18.0021,17938958333,1,-3.60417,19.7292,21.8718,538,1,531,0,0,0,0,0,38.3012,0,528
19.0034,18940312499,1,-3.64583,19.4375,20.8925,568,1,561,0,0,0,0,0,38.3012,0,559
20.0043,19941145833,1,-4.02083,19.4375,20.2735,598,1,590,0,0,0,0,0,38.3012,0,589
21.0051,20941958333,1,-5,19.4375,18.3669,628,1,620,0,0,0,0,0,38.3012,0,619
22.0053,21942187499,1,-5.60417,19.7292,3.88128,658,1,650,0,0,0,0,0,38.3012,0,648
23.0057,22942583333,1,-6.39583,15.3333,2.92614,688,1,679,0,0,0,0,0,38.3012,0,679
24.0076,23944479166,1,-7.10417,15.3333,1.64891,718,1,709,0,0,0,0,0,38.3012,0,709
25.0084,24945333333,1,-8.14583,15.3333,0.697116,748,1,739,0,0,0,0,0,38.3012,0,738
26.0084,25945354166,1,-8.9375,15.2708,-0.837179,778,1,769,0,0,0,0,0,38.3012,0,768
27.0094,26946416666,1,-9.875,15.3333,-2.42521,808,1,799,0,0,0,0,0,38.3012,0,798
28.0099,27946895833,1,-10.625,15.2708,-4.12185,838,1,829,0,0,0,0,0,38.3012,0,828
29.0117,28948624999,1,-11.6042,15.4792,-5.80727,868,1,859,0,0,0,0,0,38.3012,0,859
30.0128,29949833333,1,-12.1458,16.2292,-7.16407,898,1,889,0,0,0,0,0,38.3012,0,889
31.0125,30949520833,1,-13.1667,16.9375,-8.44304,928,1,919,0,0,0,0,0,38.3012,0,918
32.0009,31937937499,1,-13.4167,17.5,-9.56951,958,1,949,0,0,0,0,0,38.3012,0,946
33.016,32952979166,1,-13.8125,17.9792,-7.88293,989,1,979,0,0,0,0,0,38.3012,0,974
34.0012,33938270833,1,-13.875,18.2292,-7.88293,1018,1,1009,0,0,0,0,0,38.3012,0,1002
35.0165,34953562499,1,-13.9792,20.0208,-2.96461,1049,1,1032,0,0,0,0,0,38.3012,0,1030
36.0032,35940249999,1,-13.9583,20.6042,-2.96461,1078,1,1056,0,0,0,0,0,38.3012,0,1060
37.0183,36955374999,1,-5.3125,20.75,-3.88103,1109,1,1081,0,0,0,0,0,38.3012,0,1085
38.0075,37944583333,1,-5.14583,22.0417,-3.88103,1138,1,1103,0,0,0,0,0,38.3012,0,1112
39.0192,38956291666,1,-5.25,22.5208,-5.00727,1169,1,1128,0,0,0,0,0,38.3012,0,1143
40.0035,39940604166,1,-5.47917,23.8125,-5.00727,1198,1,1154,0,0,0,0,0,38.3012,0,1170
41.0055,40942583333,1,-5.95833,24.5833,-4.45405,1228,1,1178,0,0,0,0,0,38.3012,0,1200
42.0215,41958583333,1,-7.14583,25.5833,-6.28964,1259,1,1198,0,0,0,0,0,38.3012,0,1225
43.0075,42944645833,1,-7.95833,25.6042,-6.28964,1288,1,1227,0,0,0,0,0,38.3012,0,1249
44.0053,43942458333,1,-8.54167,26.3542,-10.6064,1318,1,1252,0,0,0,0,0,38.3012,0,1276
45.0082,44945354166,1,-9.10417,26.7708,-10.6064,1348,1,1280,0,0,0,0,0,38.3012,0,1306
46.024,45961166666,1,-10.3958,28.4167,-9.63908,1379,1,1303,0,0,0,0,0,38.3012,0,1336
47.0253,46962499999,1,-11.4583,28.9792,-9.23646,1409,1,1328,0,0,0,0,0,38.3012,0,1363
48.0072,47944395833,1,-12.0833,29.875,-9.23646,1438,1,1354,0,0,0,0,0,38.3012,0,1389
49.0123,48949499999,1,-12.7292,30.1042,-8.53406,1468,1,1383,0,0,0,0,0,38.3012,0,1419
