elapsed_s,position_ns,audio_master,error_p50_ms,error_p99_ms,slope_ms_min,presented,dropped,cadence,starved,rebuilds,discontinuities,host_gaps,surface_waits
0,119933333333,1,0,0,0,0,0,0,0,0,0,0,0
1.0159,120864937448,1,-13.6874,15.3958,-92.5,29,0,28,0,0,0,0,0
2.01627,121865333281,1,-13.8541,16.5208,-58.125,52,7,65,0,0,0,0,0
3.00088,122849958281,1,-14.2499,16.5833,-58.125,75,13,102,0,0,0,0,0
4.00185,123850937448,1,-12.8958,16.6666,139.25,105,14,132,0,0,0,0,0
5.00178,124850874948,1,-1.62495,16.6666,177.107,134,15,163,0,0,0,0,0
6.00265,125851770781,1,-1.74995,16.5833,166.027,164,15,193,0,0,0,0,0
7.0043,126853458281,1,-2.06245,16.5833,139.241,194,15,223,0,0,0,0,0
8.00537,127854499948,1,-2.62495,16.5833,113.208,224,15,253,0,0,0,0,0
9.00596,128855104114,1,-2.91662,16.5833,91.803,254,15,283,0,0,0,0,0
10.0059,129855062448,1,-2.97911,16.5833,76.0682,284,15,313,0,0,0,0,0
11.0076,130856770781,1,-3.16662,16.4791,60.1224,314,15,343,0,0,0,0,0
12.0078,131856999948,1,-3.72911,7.99995,48.1319,344,15,373,0,0,0,0,0
13.0078,132857020781,1,-4.56245,8.29161,39.1126,374,15,403,0,0,0,0,0
14.0101,133859270781,1,-5.58328,9.22911,28.8973,404,15,433,0,0,0,0,0
15.0099,134859145781,1,-6.43745,10.0416,21.5901,434,15,463,0,0,0,0,0
16.0107,135859958281,1,-7.04162,10.9374,15.1961,464,15,493,0,0,0,0,0
17.0124,136861645781,1,-7.95828,11.6249,8.64422,494,15,523,0,0,0,0,0
18.0134,137862645781,1,-8.58328,12.6666,2.89035,524,15,553,0,0,0,0,0
19.0134,138862666614,1,-9.56245,13.3958,-1.3609,553,16,584,0,0,0,0,0
20.015,139864312448,1,-10.1249,14.1874,-5.77273,582,17,615,0,0,0,0,0
21.015,140864291614,1,-11.0208,14.7083,-9.00268,609,20,648,0,0,0,0,0
22.0013,141850604114,1,-11.3124,15.4374,-2.44936,637,22,680,0,0,0,0,0
23.0009,142850145781,1,-11.6458,16.4583,2.9087,665,24,712,0,0,0,0,0
24.0061,143855374948,1,-11.7291,16.4583,4.15673,687,32,750,0,0,0,0,0
25.0008,144850166614,1,-11.7291,16.4583,7.7735,716,33,781,0,0,0,0,0
26.0033,145852604114,1,-11.5624,16.4583,9.42155,746,33,811,0,0,0,0,0
27.0041,146853416614,1,-2.52078,16.4583,10.311,776,33,841,0,0,0,0,0
28.0036,147852937448,1,-2.52078,16.4583,11.1558,806,33,871,0,0,0,0,0
29.0041,148853437448,1,-2.52078,16.4583,11.577,836,33,901,0,0,0,0,0
